ts_code,etf_name,group,avg_weight,weeks_held,pct_weeks,dollar_time_yrs
159934.SZ,黄金ETF,周期资源,0.3656721873736657,165,0.4376657824933687,2.6511233584590763
512660.SH,军工ETF,高端制造,0.030665760627563238,79,0.20954907161803712,0.22232676454983347
512480.SH,半导体ETF,科技成长,0.024992386629893774,45,0.11936339522546419,0.1811948030667299
515080.SH,红利ETF,红利,0.024634449201901,68,0.18037135278514588,0.17859975671378223
512200.SH,房地产ETF,地产链,0.024002811673980735,57,0.15119363395225463,0.17402038463636033
512690.SH,酒ETF,大消费,0.023308738351850263,61,0.16180371352785147,0.16898835305091442
512010.SH,医药ETF,大消费,0.020040945328525774,52,0.13793103448275862,0.14529685363181186
515030.SH,新能源车ETF,新能源,0.01871583281557109,56,0.14854111405835543,0.1356897879128904
515880.SH,通信ETF,科技成长,0.016450755953734787,48,0.1273209549071618,0.1192679806645772
515210.SH,钢铁ETF,周期资源,0.015688829175177502,54,0.14323607427055704,0.1137440115200369
515220.SH,煤炭ETF,周期资源,0.014376407371802673,38,0.10079575596816977,0.10422895344556937
159867.SZ,畜牧ETF,农业,0.013774754508440186,32,0.08488063660477453,0.09986697018619134
515980.SH,AI_ETF,科技成长,0.013018106946800204,55,0.14588859416445624,0.09438127536430148
159857.SZ,光伏ETF,新能源,0.013015615215414052,30,0.07957559681697612,0.09436321031175189
159869.SZ,游戏ETF,科技成长,0.012924523442100978,27,0.07161803713527852,0.0937027949552321
159890.SZ,云计算ETF,科技成长,0.01201921868302443,51,0.13527851458885942,0.08713933545192712
159980.SZ,有色ETF,周期资源,0.011693067194612234,43,0.11405835543766578,0.0847747371609387
562500.SH,机器人ETF,高端制造,0.01134041791078927,31,0.08222811671087533,0.08221802985322221
159713.SZ,稀土ETF,周期资源,0.009935380294722752,41,0.10875331564986737,0.07203150713673995
515230.SH,软件ETF,科技成长,0.00932094421959107,28,0.07427055702917772,0.06757684559203526
512800.SH,银行ETF,大金融,0.008278608406974652,22,0.058355437665782495,0.06001991095056623
512880.SH,证券ETF,大金融,0.008147962651798632,23,0.0610079575596817,0.059072729225540084
159992.SZ,创新药ETF,大消费,0.00683842336561119,23,0.0610079575596817,0.04957856940068113
159779.SZ,消费电子ETF,科技成长,0.006458504506733823,30,0.07957559681697612,0.04682415767382021
516750.SH,建材ETF,地产链,0.006440656714745248,23,0.0610079575596817,0.04669476118190304
